ECellID,CellName,Longitude,Latitude,PCI,EARFCN,Azimuth
901898,"Honeycrock Lane, Salfords and Sidlow, RH1 5DE",-0.16265536658170276,51.20369743384666,438,6300,175
901908,"Honeycrock Lane, Salfords and Sidlow, RH1 5DE",-0.16265536658170276,51.20369743384666,439,6300,182
901918,"Honeycrock Lane, Salfords and Sidlow, RH1 5DE",-0.16265536658170276,51.20369743384666,440,6300,2
104970,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,132,6300,67
104974,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,78,323,49
104978,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,174,2850,64
104980,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,133,6300,125
104984,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,79,323,103
104988,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,175,2850,134
104990,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,134,6300,246
104994,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,80,323,275
104998,"Heston Road, South Earlswood, RH1 5HY",-0.17386841209963677,51.22095842789197,176,2850,246
816906,"Bonehurst Road, Salfords and Sidlow, RH1 5EG",-0.1640929869796537,51.19647944086759,186,6300,74
816916,"Bonehurst Road, Salfords and Sidlow, RH1 5EG",-0.1640929869796537,51.19647944086759,187,6300,254
816926,"Bonehurst Road, Salfords and Sidlow, RH1 5EG",-0.1640929869796537,51.19647944086759,188,6300,344
1347082,"Horley Road, South Earlswood, RH1 5AS",-0.17153666185777183,51.20881503916366,249,6300,151
1347092,"Horley Road, South Earlswood, RH1 5AS",-0.17153666185777183,51.20881503916366,250,6300,194
1347102,"Horley Road, South Earlswood, RH1 5AS",-0.17153666185777183,51.20881503916366,251,6300,331
12882759,"The Street, Charlwood, RH6 0BY",-0.21830196678638,51.154430389404,74,-1,0
1716234,"Station Approach Road, Lowfield Heath, Crawley, RH6 0RD",-0.1610284298658371,51.156461157289215,120,6300,11
1716244,"Station Approach Road, Lowfield Heath, Crawley, RH6 0RD",-0.1610284298658371,51.156461157289215,121,6300,191
1716254,"Station Approach Road, Lowfield Heath, Crawley, RH6 0RD",-0.1610284298658371,51.156461157289215,122,6300,236
1965584,"Perimeter Road East, Lowfield Heath, Crawley, RH6 0DW",-0.1633614592173979,51.15737410693308,276,1288,130
1965588,"Perimeter Road East, Lowfield Heath, Crawley, RH6 0DW",-0.1633614592173979,51.15737410693308,277,6300,25
1965596,"Perimeter Road East, Lowfield Heath, Crawley, RH6 0DW",-0.1633614592173979,51.15737410693308,450,2850,206
1965598,"Perimeter Road East, Lowfield Heath, Crawley, RH6 0DW",-0.1633614592173979,51.15737410693308,278,6300,180
1628176,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,480,1288,352
1628178,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,480,2850,314
1628186,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,481,1288,191
1628188,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,481,2850,11
1628196,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,482,1288,352
1628198,"North Terminal Approach, Crawley, RH6 0PJ",-0.178837868868024,51.16105927498339,482,2850,258
1626896,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,453,1288,161
1626898,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,487,2850,133
1626906,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,454,1288,253
1626908,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,488,2850,242
1626916,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,455,1288,74
1626918,"North Terminal Approach, Crawley, RH6 0PJ",-0.17708107774745907,51.16139357337437,486,2850,5
8462081,"The Street, Charlwood, RH6 0BY",-0.21654540300369,51.154262542725,74,-1,0
1609226,"Whitmore Way, Greenfields, Horley, RH6 8FX",-0.18569990257276123,51.17846391811713,4,6300,108
1609236,"Whitmore Way, Greenfields, Horley, RH6 8FX",-0.18569990257276123,51.17846391811713,208,6300,216
1609246,"Whitmore Way, Greenfields, Horley, RH6 8FX",-0.18569990257276123,51.17846391811713,209,6300,340
708884,"Wheatfield Way, Meath Green, Horley, RH6 9DA",-0.1566929742693901,51.17910736747867,244,6300,0
889864,"Cross Oak Lane, Salfords and Sidlow, RH1 5EX",-0.1612693576349784,51.19143199764722,75,-1,323
889866,"Cross Oak Lane, Salfords and Sidlow, RH1 5EX",-0.1612693576349784,51.19143199764722,210,6300,180
889876,"Cross Oak Lane, Salfords and Sidlow, RH1 5EX",-0.1612693576349784,51.19143199764722,211,6300,248
889886,"Cross Oak Lane, Salfords and Sidlow, RH1 5EX",-0.1612693576349784,51.19143199764722,212,6300,360
930312,"Coopers Hill Road, Nutfield, RH1 5PD",-0.1147012785077095,51.221352500539204,235,-1,136
930314,"Coopers Hill Road, Nutfield, RH1 5PD",-0.1147012785077095,51.221352500539204,123,6300,80
930324,"Coopers Hill Road, Nutfield, RH1 5PD",-0.1147012785077095,51.221352500539204,124,6300,196
930334,"Coopers Hill Road, Nutfield, RH1 5PD",-0.1147012785077095,51.221352500539204,125,6300,322
817162,"Brighton Road, Meath Green, Horley, RH6 7JU",-0.16398670926037084,51.180637653405945,189,6300,94
817172,"Brighton Road, Meath Green, Horley, RH6 7JU",-0.16398670926037084,51.180637653405945,190,6300,153
817182,"Brighton Road, Meath Green, Horley, RH6 7JU",-0.16398670926037084,51.180637653405945,191,6300,333
2170890,"Balcombe Road, Meath Green, Horley, RH6 9HZ",-0.1595911870835464,51.175191796587285,81,6300,134
2170900,"Balcombe Road, Meath Green, Horley, RH6 9HZ",-0.1595911870835464,51.175191796587285,82,6300,316
2170910,"Balcombe Road, Meath Green, Horley, RH6 9HZ",-0.1595911870835464,51.175191796587285,83,6300,136
1628946,"North Terminal Approach, Crawley, RH6 0PJ",-0.17839453743117276,51.159427182915806,465,2850,196
1628956,"North Terminal Approach, Crawley, RH6 0PJ",-0.17839453743117276,51.159427182915806,67,2850,246
1628964,"North Terminal Approach, Crawley, RH6 0PJ",-0.17839453743117276,51.159427182915806,68,1288,306
1628966,"North Terminal Approach, Crawley, RH6 0PJ",-0.17839453743117276,51.159427182915806,68,2850,126
153610,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,415,6300,55
153612,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,241,3624,235
153614,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,241,323,169
153620,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,416,6300,185
153622,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,242,3624,270
153630,"M23, Burstow, RH6 9PR",-0.12775568664073944,51.18284136809646,414,6300,7
